N,P,K,pH,recommended_N_kg_per_acre,recommended_P2O5_kg_per_acre,recommended_K2O_kg_per_acre,urea,ssp,mop
109.0,17.0,19.0,7.61,48.67,23.66,29.51,105.81,147.88,49.19
98.0,18.0,171.0,7.18,49.13,24.2,21.49,106.81,151.25,35.82
71.0,9.0,146.0,8.12,56.98,27.63,22.61,123.87,172.72,37.69
73.0,10.0,127.0,6.85,55.69,27.1,23.71,121.08,169.36,39.51
84.0,7.0,19.0,5.25,53.88,28.94,30.17,117.12,180.86,50.28
65.0,9.0,180.0,5.31,56.54,26.92,20.18,122.92,168.28,33.64
103.0,29.0,103.0,7.25,50.05,18.91,24.92,108.81,118.2,41.53
65.0,58.0,126.0,8.15,57.85,15.0,22.85,125.77,93.75,38.08
94.0,8.0,60.0,7.7,51.39,28.43,26.31,111.71,177.69,43.84
123.0,10.0,125.0,7.42,45.59,27.02,23.58,99.1,168.9,39.29
75.0,13.0,191.0,7.61,55.22,25.6,19.7,120.04,159.97,32.84
80.0,9.0,39.0,7.36,53.31,27.45,29.26,115.89,171.59,48.77
63.0,9.0,211.0,7.85,57.28,27.55,19.13,124.53,172.17,31.88
69.0,10.0,164.0,7.88,56.08,27.02,21.94,121.91,168.9,36.57
98.0,14.0,154.0,6.18,50.71,26.0,21.26,110.23,162.5,35.43
84.0,10.0,195.0,7.77,54.0,26.21,19.12,117.39,163.81,31.87
98.0,7.0,179.0,5.73,49.55,29.12,20.5,107.72,181.98,34.17
54.0,17.0,162.0,7.84,59.1,23.87,22.55,128.48,149.2,37.58
74.0,9.0,169.0,5.92,56.39,27.93,21.6,122.58,174.54,36.0
98.0,9.0,195.0,5.68,49.81,27.02,19.86,108.27,168.9,33.1
103.0,10.0,169.0,6.67,48.74,28.05,20.67,105.96,175.29,34.44
64.0,13.0,171.0,7.66,57.36,26.65,20.3,124.7,166.55,33.83
80.0,8.0,19.0,5.37,54.68,28.73,30.25,118.86,179.54,50.42
63.0,33.0,65.0,6.81,57.41,15.99,26.55,124.8,99.94,44.25
55.0,11.0,160.0,7.6,60.06,27.3,21.28,130.57,170.61,35.47
125.0,9.0,117.0,6.08,45.69,27.94,23.92,99.32,174.64,39.87
85.0,13.0,149.0,6.7,53.67,24.94,22.86,116.68,155.86,38.09
121.0,19.0,169.0,7.42,46.24,23.19,20.68,100.53,144.91,34.47
103.0,19.0,180.0,7.46,51.26,23.42,18.98,111.44,146.37,31.63
69.0,12.0,125.0,7.46,56.04,26.68,23.75,121.82,166.77,39.59
95.0,7.0,17.0,5.69,49.4,28.71,29.63,107.39,179.41,49.38
66.0,15.0,195.0,7.8,58.08,25.17,19.32,126.27,157.34,32.2
69.0,11.0,174.0,7.98,55.83,27.68,20.52,121.38,173.03,34.19
75.0,25.0,198.0,7.03,55.09,21.24,18.98,119.75,132.72,31.64
63.0,10.0,58.0,7.91,58.45,25.53,27.92,127.06,159.56,46.53
121.0,23.0,169.0,6.45,44.52,21.21,20.09,96.78,132.56,33.49
103.0,5.0,19.0,5.62,48.4,29.4,29.6,105.21,183.76,49.34
55.0,9.0,150.0,8.3,57.72,26.65,22.34,125.48,166.55,37.24
98.0,10.0,199.0,7.44,49.76,27.31,18.75,108.18,170.67,31.25
71.0,10.0,199.0,7.86,56.15,28.0,18.26,122.07,175.0,30.43
83.0,17.0,110.0,7.5,53.82,23.45,24.73,117.0,146.55,41.22
79.0,10.0,104.0,8.08,54.42,27.45,25.32,118.31,171.57,42.2
83.0,14.0,113.0,7.4,52.27,24.9,24.2,113.63,155.63,40.33
69.0,8.0,191.0,5.12,54.35,27.75,18.56,118.16,173.42,30.93
125.0,21.0,123.0,6.59,45.04,23.19,23.97,97.92,144.92,39.95
83.0,14.0,169.0,7.61,53.02,25.12,20.03,115.27,157.03,33.38
69.0,12.0,162.0,7.59,56.57,26.63,21.43,122.97,166.42,35.72
86.0,34.0,165.0,6.64,53.36,15.33,20.66,116.0,95.8,34.43
94.0,9.0,198.0,7.76,51.31,28.82,18.54,111.54,180.11,30.9
126.0,11.0,175.0,7.94,45.41,27.16,20.28,98.71,169.76,33.8
90.0,9.0,19.0,8.26,52.18,27.59,29.77,113.44,172.44,49.61
98.0,14.0,154.0,6.18,50.82,25.8,21.44,110.49,161.22,35.73
127.0,23.0,168.0,7.48,44.04,20.55,21.21,95.73,128.46,35.36
95.0,9.0,198.0,5.26,50.86,28.41,18.9,110.56,177.56,31.49
75.0,15.0,169.0,7.54,55.16,24.81,21.35,119.91,155.04,35.58
125.0,21.0,164.0,7.42,45.66,22.18,21.3,99.25,138.61,35.5
91.0,15.0,19.0,7.65,51.49,24.71,29.51,111.92,154.41,49.19
69.0,13.0,164.0,7.72,56.62,25.55,20.73,123.08,159.7,34.55
94.0,25.0,194.0,6.57,50.99,20.92,18.54,110.84,130.73,30.89
109.0,13.0,185.0,7.03,48.11,26.05,20.05,104.58,162.83,33.41
119.0,7.0,198.0,,46.86,28.99,18.94,101.88,181.19,31.57
55.0,13.0,58.0,8.14,57.41,25.89,26.33,124.79,161.84,43.89
95.0,13.0,114.0,7.46,49.96,26.21,23.89,108.61,163.8,39.82
121.0,35.0,110.0,7.58,44.61,15.75,23.95,96.99,98.43,39.92
115.0,21.0,199.0,7.29,45.13,23.64,19.85,98.12,147.74,33.08
111.0,23.0,166.0,6.95,47.26,20.46,20.19,102.73,127.87,33.65
54.0,8.0,154.0,8.37,59.8,28.91,21.04,130.0,180.67,35.07
124.0,28.0,165.0,6.77,44.97,19.97,21.65,97.77,124.82,36.09
108.0,23.0,170.0,6.65,48.56,20.89,21.48,105.56,130.55,35.8
54.0,7.0,166.0,7.35,60.07,29.94,20.67,130.59,187.11,34.45
85.0,10.0,130.0,5.53,54.06,27.85,22.88,117.53,174.05,38.14
85.0,21.0,139.0,7.54,52.94,22.88,22.97,115.1,143.02,38.28
84.0,9.0,169.0,5.4,54.28,27.72,19.7,118.01,173.23,32.83
54.0,9.0,115.0,8.35,59.27,27.57,23.17,128.86,172.31,38.62
98.0,18.0,171.0,7.18,49.73,23.52,20.6,108.11,147.03,34.33
95.0,7.0,194.0,1.55,50.52,28.83,20.13,109.84,180.21,33.56
94.0,9.0,122.0,7.66,50.02,28.54,23.46,108.73,178.38,39.1
103.0,21.0,103.0,7.82,48.69,22.41,24.87,105.85,140.05,41.45
121.0,25.0,120.0,7.5,45.51,19.95,24.37,98.94,124.71,40.61
74.0,11.0,195.0,7.86,55.84,27.29,20.35,121.4,170.59,33.92
51.0,10.0,199.0,7.83,61.18,27.8,18.77,132.99,173.77,31.29
65.0,10.0,165.0,8.12,55.89,27.64,21.09,121.51,172.77,35.15
99.0,10.0,126.0,7.9,50.51,27.7,24.35,109.81,173.11,40.59
79.0,11.0,144.0,7.49,53.37,26.64,21.6,116.02,166.48,36.0
127.0,23.0,168.0,7.48,44.98,20.84,21.43,97.78,130.27,35.72
71.0,14.0,103.0,6.18,55.7,24.93,24.31,121.08,155.81,40.52
113.0,25.0,194.0,7.14,45.94,19.52,19.41,99.86,121.99,32.35
76.0,13.0,174.0,7.75,55.54,26.04,20.44,120.74,162.76,34.06
68.0,8.0,102.0,8.17,55.92,28.1,24.4,121.56,175.62,40.67
113.0,21.0,155.0,7.01,46.97,22.04,21.21,102.11,137.73,35.35
75.0,13.0,191.0,7.61,54.14,24.13,19.68,117.7,150.79,32.8
107.0,15.0,74.0,7.72,48.08,24.25,27.06,104.51,151.57,45.1
97.0,21.0,127.0,7.37,50.94,22.97,23.32,110.74,143.58,38.86
115.0,18.0,103.0,6.95,46.85,23.25,24.86,101.84,145.32,41.43
95.0,21.0,117.0,7.5,51.26,22.52,24.27,111.44,140.73,40.44
111.0,21.0,121.0,7.98,48.09,21.47,23.25,104.54,134.16,38.76
111.0,14.0,65.0,6.66,48.86,26.31,27.47,106.21,164.46,45.78
99.0,25.0,184.0,6.63,49.93,20.41,20.37,108.53,127.58,33.95
98.0,7.0,179.0,5.73,49.22,28.77,21.56,107.0,179.84,35.94
84.0,9.0,169.0,5.4,54.05,29.1,20.67,117.51,181.85,34.45
76.0,13.0,174.0,7.75,54.53,26.81,20.33,118.55,167.56,33.88
59.0,8.0,160.0,8.21,59.09,27.97,21.78,128.46,174.79,36.31
107.0,13.0,128.0,7.66,48.91,25.54,23.73,106.32,159.65,39.55
113.0,16.0,114.0,7.03,47.3,24.35,23.89,102.82,152.22,39.82
69.0,13.0,18.0,7.68,56.48,26.21,29.72,122.78,163.79,49.53
121.0,35.0,194.0,7.58,47.36,15.94,19.63,102.96,99.61,32.72
99.0,25.0,184.0,6.63,51.86,20.26,19.55,112.74,126.64,32.58
66.0,9.0,19.0,8.15,56.86,28.58,29.65,123.6,178.63,49.42
69.0,17.0,194.0,7.95,56.33,24.03,19.4,122.45,150.2,32.34
64.0,8.0,180.0,6.06,58.06,29.53,20.7,126.22,184.56,34.5
77.0,11.0,166.0,8.13,53.92,26.85,20.74,117.22,167.84,34.56
65.0,9.0,119.0,4.72,57.27,28.77,22.94,124.49,179.82,38.23
69.0,19.0,154.0,5.06,56.18,23.41,20.8,122.13,146.34,34.67
75.0,25.0,198.0,7.03,55.25,21.08,18.49,120.11,131.74,30.82
103.0,17.0,191.0,7.36,48.73,23.67,18.88,105.94,147.91,31.47
76.0,10.0,171.0,7.67,53.53,26.74,20.66,116.37,167.11,34.44
55.0,8.0,198.0,7.75,57.34,28.43,18.53,124.66,177.66,30.88
84.0,9.0,125.0,5.89,52.31,28.29,23.15,113.71,176.83,38.58
74.0,10.0,179.0,8.14,54.83,27.27,19.87,119.2,170.46,33.12
107.0,13.0,173.0,7.74,48.37,25.13,20.4,105.14,157.05,34.0
118.0,23.0,159.0,7.5,47.95,20.58,22.12,104.24,128.65,36.87
125.0,21.0,164.0,7.42,45.88,21.44,21.49,99.75,134.02,35.82
101.0,36.0,165.0,7.5,49.03,15.0,21.11,106.59,93.75,35.18
69.0,10.0,110.0,7.85,56.48,27.32,24.17,122.78,170.72,40.28
115.0,17.0,104.0,6.88,46.67,24.78,24.54,101.47,154.84,40.91
94.0,9.0,198.0,7.76,50.97,27.69,19.28,110.81,173.07,32.14
59.0,17.0,160.0,7.73,58.35,22.74,21.69,126.84,142.15,36.15
99.0,12.0,175.0,7.46,50.7,26.24,20.05,110.21,163.97,33.41
76.0,10.0,103.0,7.96,54.53,27.15,24.84,118.54,169.7,41.4
119.0,7.0,117.0,5.78,47.05,29.86,22.96,102.28,186.61,38.27
98.0,7.0,144.0,5.3,49.49,27.73,22.47,107.58,173.29,37.44
79.0,14.0,144.0,7.7,54.21,25.22,22.74,117.84,157.6,37.9
75.0,7.0,103.0,6.78,57.08,29.62,24.68,124.08,185.15,41.13
117.0,10.0,171.0,6.49,46.78,27.52,21.65,101.69,172.0,36.08
59.0,9.0,18.0,7.39,59.35,28.04,29.48,129.01,175.24,49.13
113.0,10.0,166.0,6.35,47.47,27.32,21.15,103.2,170.74,35.25
79.0,11.0,144.0,7.49,54.66,27.0,22.34,118.84,168.74,37.24
99.0,17.0,19.0,7.78,50.15,24.57,29.81,109.03,153.54,49.68
74.0,9.0,18.0,8.01,55.06,27.21,29.86,119.7,170.09,49.77
104.0,25.0,169.0,6.92,48.58,21.03,20.91,105.6,131.42,34.86
51.0,10.0,199.0,7.83,60.14,26.43,19.48,130.75,165.16,32.47
88.0,11.0,318.0,7.72,51.72,27.0,15.0,112.43,168.73,25.0
61.0,11.0,198.0,7.86,58.33,26.91,19.12,126.81,168.17,31.86
125.0,24.0,199.0,7.23,45.87,20.58,19.47,99.71,128.63,32.45
74.0,9.0,149.0,8.13,55.49,27.69,21.71,120.64,173.04,36.18
54.0,7.0,159.0,8.62,58.97,28.23,21.84,128.2,176.42,36.4
68.0,8.0,102.0,8.17,56.76,27.51,24.5,123.4,171.92,40.83
59.0,8.0,125.0,7.76,57.95,27.94,24.05,125.98,174.61,40.08
103.0,22.0,164.0,7.8,50.15,21.19,22.27,109.02,132.42,37.11
113.0,17.0,175.0,6.72,45.93,24.29,20.44,99.86,151.84,34.06
55.0,8.0,125.0,8.19,58.73,27.46,22.4,127.68,171.62,37.34
69.0,17.0,194.0,7.95,54.61,24.53,19.09,118.71,153.29,31.81
107.0,19.0,194.0,7.44,47.4,22.49,19.98,103.05,140.57,33.29
105.0,13.0,109.0,7.14,50.09,25.56,24.74,108.89,159.75,41.23
53.0,13.0,95.0,7.97,60.12,25.53,25.42,130.69,159.53,42.37
84.0,10.0,195.0,7.77,52.62,28.05,19.8,114.4,175.28,33.01
85.0,7.0,144.0,8.24,51.8,28.8,22.6,112.6,179.99,37.67
85.0,15.0,110.0,7.41,50.63,24.87,25.01,110.06,155.46,41.68
96.0,11.0,118.0,7.41,50.37,27.1,24.38,109.49,169.37,40.63
96.0,15.0,179.0,7.77,52.74,23.74,21.02,114.64,148.35,35.03
104.0,23.0,106.0,6.98,49.55,21.37,24.82,107.71,133.59,41.37
111.0,13.0,175.0,7.63,47.35,27.1,20.95,102.94,169.37,34.92
79.0,7.0,194.0,5.18,54.57,28.68,19.21,118.63,179.25,32.01
95.0,7.0,194.0,1.55,49.75,28.64,19.06,108.15,179.0,31.77
71.0,10.0,117.0,7.67,55.56,27.58,24.83,120.79,172.37,41.39
71.0,63.0,165.0,7.66,55.88,15.0,21.21,121.48,93.75,35.35
59.0,8.0,110.0,4.68,58.13,26.95,24.8,126.37,168.45,41.34
103.0,21.0,103.0,7.82,50.03,21.29,24.88,108.77,133.07,41.47
95.0,8.0,154.0,7.3,51.28,28.28,21.47,111.47,176.73,35.78
100.0,15.0,166.0,7.42,50.53,24.57,21.05,109.86,153.57,35.08
125.0,19.0,138.0,7.09,44.45,23.99,23.44,96.63,149.92,39.06
85.0,7.0,144.0,8.24,53.72,28.41,22.64,116.78,177.57,37.73
90.0,9.0,19.0,8.26,53.3,26.54,29.0,115.88,165.87,48.34
53.0,13.0,95.0,7.97,58.62,25.14,25.19,127.44,157.12,41.99
74.0,17.0,194.0,7.66,54.49,22.45,20.25,118.46,140.31,33.75
107.0,13.0,163.0,7.64,49.67,25.76,21.11,107.98,161.0,35.19
98.0,17.0,160.0,7.51,50.25,23.99,20.5,109.23,149.92,34.17
76.0,11.0,113.0,7.72,55.92,26.55,25.17,121.57,165.91,41.94
124.0,8.0,143.0,5.61,44.85,28.8,22.76,97.49,179.98,37.94
75.0,9.0,185.0,7.99,56.16,28.42,19.86,122.1,177.62,33.11
105.0,17.0,110.0,6.75,49.11,24.0,24.21,106.75,149.99,40.36
125.0,59.0,49.0,6.78,45.21,15.0,28.6,98.28,93.75,47.67
103.0,24.0,139.0,7.38,50.65,21.32,22.39,110.11,133.25,37.32
54.0,17.0,162.0,7.84,58.91,24.43,21.85,128.07,152.71,36.42
113.0,21.0,155.0,7.01,46.65,22.49,21.97,101.41,140.54,36.62
113.0,15.0,176.0,7.04,47.04,25.59,20.56,102.26,159.93,34.27
79.0,6.0,18.0,5.7,54.56,28.35,29.99,118.61,177.19,49.99
119.0,17.0,184.0,6.72,44.95,25.31,19.87,97.71,158.16,33.12
54.0,7.0,159.0,8.62,59.71,28.02,21.98,129.8,175.15,36.64
109.0,17.0,19.0,7.61,47.77,24.55,29.43,103.85,153.43,49.05
99.0,17.0,185.0,7.39,51.12,23.09,19.09,111.13,144.3,31.82
109.0,6.0,113.0,5.67,46.28,28.49,24.53,100.62,178.07,40.88
103.0,20.0,153.0,6.93,48.77,23.66,22.14,106.02,147.87,36.89
108.0,20.0,111.0,7.13,47.05,22.59,24.58,102.28,141.21,40.97
95.0,9.0,198.0,5.26,50.34,28.2,19.32,109.43,176.27,32.21
109.0,11.0,164.0,6.9,48.4,26.94,21.0,105.21,168.39,35.0
103.0,13.0,125.0,7.62,49.26,25.84,23.89,107.08,161.48,39.82
74.0,9.0,110.0,8.4,55.0,28.52,24.38,119.56,178.24,40.63
99.0,17.0,185.0,7.39,50.07,23.96,19.66,108.85,149.74,32.76
103.0,17.0,166.0,7.26,49.56,23.03,20.88,107.75,143.95,34.81
103.0,21.0,197.0,6.72,48.59,21.82,20.19,105.64,136.36,33.65
79.0,7.0,194.0,5.18,54.77,28.93,18.49,119.06,180.82,30.82
94.0,25.0,194.0,6.57,51.73,20.74,19.61,112.46,129.61,32.68
86.0,10.0,140.0,5.61,53.11,26.31,21.76,115.45,164.44,36.27
113.0,17.0,198.0,7.57,47.85,23.67,19.07,104.01,147.91,31.78
103.0,20.0,17.0,7.27,49.64,22.4,29.76,107.91,140.01,49.61
98.0,23.0,160.0,7.75,52.03,21.18,20.36,113.1,132.38,33.93
59.0,10.0,113.0,8.02,58.13,26.42,24.41,126.37,165.15,40.69
68.0,17.0,103.0,7.68,56.15,23.72,24.63,122.07,148.27,41.05
129.0,23.0,200.0,7.36,43.6,20.96,17.95,94.78,131.02,29.92
79.0,15.0,117.0,7.89,53.37,25.46,24.4,116.03,159.14,40.67
114.0,21.0,113.0,7.23,46.2,22.79,24.94,100.44,142.41,41.56
104.0,25.0,133.0,7.32,48.49,20.41,23.77,105.41,127.58,39.61
125.0,21.0,164.0,7.42,44.94,22.06,21.34,97.7,137.9,35.57
54.0,9.0,184.0,8.27,59.47,27.78,19.98,129.28,173.65,33.31
95.0,9.0,194.0,5.51,51.04,27.21,20.02,110.96,170.06,33.37
93.0,14.0,62.0,7.35,50.79,24.76,28.12,110.41,154.76,46.87
85.0,21.0,184.0,7.27,53.72,21.74,20.53,116.78,135.85,34.21
69.0,8.0,193.0,5.4,56.79,27.77,18.95,123.46,173.56,31.58
103.0,21.0,118.0,7.35,49.27,21.6,24.02,107.11,135.01,40.03
54.0,10.0,159.0,8.16,58.68,27.35,21.68,127.56,170.92,36.13
113.0,17.0,108.0,6.68,47.84,24.54,23.62,104.0,153.36,39.36
94.0,9.0,180.0,6.46,51.35,26.75,20.43,111.63,167.17,34.06
108.0,7.0,195.0,5.65,47.24,28.62,20.44,102.7,178.84,34.06
113.0,9.0,146.0,5.98,47.35,27.57,22.56,102.93,172.3,37.6
109.0,16.0,185.0,7.27,48.41,24.75,20.64,105.24,154.72,34.39
115.0,14.0,186.0,7.32,46.28,25.44,19.93,100.61,159.01,33.22
113.0,25.0,194.0,7.14,47.55,19.63,19.32,103.37,122.67,32.21
69.0,9.0,161.0,8.12,55.04,26.94,21.53,119.64,168.39,35.88
99.0,10.0,136.0,5.82,51.27,27.27,22.43,111.45,170.42,37.39
51.0,10.0,199.0,7.83,60.8,27.87,18.58,132.17,174.17,30.96
79.0,15.0,117.0,7.89,54.0,23.67,24.61,117.39,147.95,41.02
98.0,21.0,177.0,7.38,50.69,22.51,21.07,110.2,140.67,35.11
84.0,9.0,169.0,5.4,51.27,28.41,20.36,111.46,177.59,33.94
74.0,9.0,18.0,8.01,54.27,27.61,30.4,117.99,172.55,50.67
63.0,10.0,180.0,8.07,57.16,27.58,20.16,124.27,172.38,33.59
74.0,40.0,169.0,7.47,54.34,15.0,21.03,118.14,93.75,35.05
95.0,6.0,19.0,4.78,51.57,28.98,30.09,112.11,181.11,50.15
85.0,15.0,110.0,7.41,54.6,24.03,24.9,118.69,150.17,41.5
62.0,9.0,75.0,7.96,56.66,26.29,26.54,123.17,164.33,44.24
69.0,12.0,125.0,7.46,55.53,26.92,24.21,120.72,168.22,40.34
69.0,13.0,18.0,7.68,56.39,25.31,30.07,122.58,158.18,50.12
86.0,8.0,131.0,5.92,54.09,27.88,23.45,117.58,174.23,39.09
113.0,18.0,198.0,6.26,46.42,22.82,18.7,100.92,142.61,31.17
68.0,17.0,103.0,7.68,56.6,23.25,25.9,123.04,145.34,43.17
94.0,7.0,169.0,7.87,52.66,28.5,21.09,114.47,178.1,35.16
66.0,18.0,130.0,7.95,55.48,23.21,23.56,120.61,145.08,39.26
85.0,10.0,130.0,5.53,51.98,27.48,22.4,112.99,171.73,37.33
104.0,23.0,106.0,6.98,48.86,21.67,24.23,106.22,135.45,40.38
103.0,11.0,150.0,6.85,48.98,26.99,22.62,106.49,168.7,37.7
102.0,10.0,60.0,7.69,50.25,27.39,27.54,109.24,171.21,45.91
97.0,9.0,50.0,8.1,50.79,28.65,27.04,110.42,179.04,45.07
84.0,7.0,19.0,5.25,51.78,27.96,30.38,112.57,174.75,50.63
115.0,23.0,150.0,7.01,47.41,21.37,21.73,103.07,133.54,36.21
79.0,7.0,194.0,5.18,53.74,29.28,20.07,116.82,183.0,33.44
74.0,10.0,180.0,7.8,56.22,28.01,20.16,122.22,175.05,33.59
92.0,7.0,110.0,8.04,51.1,27.75,24.5,111.08,173.42,40.84
125.0,9.0,117.0,6.08,44.49,27.51,24.57,96.72,171.95,40.95
80.0,9.0,39.0,7.36,54.43,28.51,28.21,118.33,178.22,47.02
61.0,8.0,133.0,8.14,58.41,28.45,22.52,126.98,177.84,37.54
98.0,10.0,68.0,7.01,50.76,27.37,26.82,110.34,171.04,44.7
71.0,9.0,146.0,8.12,54.45,27.57,22.65,118.37,172.31,37.76
120.0,21.0,179.0,6.51,46.43,22.07,19.59,100.94,137.94,32.66
69.0,12.0,162.0,7.59,55.37,26.52,20.45,120.38,165.77,34.08
103.0,21.0,198.0,7.03,49.59,22.15,19.53,107.8,138.43,32.55
70.0,10.0,190.0,7.32,54.86,27.22,19.3,119.26,170.15,32.16
121.0,18.0,176.0,7.36,46.16,23.7,20.24,100.34,148.11,33.74
69.0,9.0,103.0,5.76,55.55,27.29,23.89,120.77,170.58,39.82
98.0,10.0,181.0,7.64,49.37,27.57,19.8,107.33,172.31,33.0
95.0,15.0,191.0,7.44,51.57,26.75,19.54,112.11,167.18,32.56
124.0,8.0,143.0,5.61,45.39,27.08,22.89,98.68,169.27,38.14
115.0,21.0,199.0,7.29,46.51,22.49,18.67,101.11,140.59,31.12
63.0,9.0,211.0,7.85,58.56,27.24,19.17,127.31,170.27,31.95
95.0,7.0,103.0,8.02,50.65,28.95,24.48,110.1,180.92,40.8
75.0,7.0,103.0,6.78,55.03,28.63,24.48,119.62,178.92,40.8
120.0,21.0,179.0,6.51,46.22,22.76,21.03,100.47,142.23,35.05
84.0,9.0,154.0,5.4,52.7,28.41,21.87,114.57,177.53,36.44
93.0,17.0,149.0,7.94,51.78,24.22,21.78,112.56,151.35,36.31
63.0,9.0,211.0,7.85,56.97,28.38,18.26,123.85,177.37,30.44
94.0,8.0,60.0,7.7,50.87,26.74,28.08,110.59,167.15,46.79
73.0,17.0,169.0,7.32,56.49,25.05,21.59,122.8,156.59,35.99
84.0,23.0,106.0,6.99,52.37,21.63,24.23,113.84,135.16,40.39
91.0,16.0,195.0,7.65,49.87,25.2,19.28,108.41,157.48,32.13
103.0,20.0,110.0,6.0,50.69,22.02,24.45,110.19,137.61,40.74
93.0,17.0,149.0,7.94,53.44,23.6,21.57,116.17,147.51,35.94
65.0,13.0,19.0,7.64,56.68,25.99,29.83,123.21,162.42,49.72
84.0,17.0,135.0,6.72,51.65,24.09,22.9,112.28,150.56,38.17
79.0,15.0,121.0,7.69,53.95,25.17,24.31,117.29,157.31,40.52
121.0,23.0,199.0,7.3,45.57,22.05,19.66,99.07,137.82,32.77
103.0,17.0,191.0,7.36,49.25,23.04,19.38,107.06,144.01,32.29
63.0,16.0,165.0,7.81,56.51,25.13,20.99,122.85,157.09,34.99
113.0,19.0,118.0,7.49,47.86,23.2,24.25,104.05,145.03,40.42
69.0,9.0,103.0,5.76,56.62,27.58,24.53,123.09,172.36,40.88
109.0,11.0,164.0,6.9,47.0,25.92,21.45,102.18,161.98,35.76
59.0,8.0,110.0,4.68,58.76,28.45,24.36,127.74,177.82,40.59
98.0,7.0,179.0,5.73,52.04,27.15,19.78,113.14,169.7,32.96
61.0,9.0,135.0,7.5,57.94,28.09,22.42,125.95,175.56,37.37
85.0,10.0,171.0,5.14,52.73,26.35,21.46,114.63,164.72,35.77
93.0,14.0,62.0,7.35,51.29,25.48,27.2,111.49,159.26,45.34
66.0,9.0,176.0,8.2,57.29,27.63,21.26,124.55,172.68,35.43
107.0,19.0,194.0,7.44,47.22,23.9,19.1,102.64,149.39,31.84
126.0,11.0,175.0,7.94,44.93,26.69,20.65,97.68,166.83,34.41
96.0,16.0,103.0,,50.49,24.13,26.02,109.76,150.83,43.36
59.0,10.0,171.0,8.1,59.68,26.95,20.21,129.74,168.41,33.69
74.0,10.0,180.0,7.8,55.06,28.01,19.25,119.7,175.09,32.09
94.0,9.0,180.0,6.46,52.53,28.02,20.84,114.21,175.14,34.74
76.0,12.0,117.0,7.56,53.92,26.12,23.57,117.21,163.24,39.28
95.0,19.0,131.0,7.47,51.47,23.06,23.13,111.89,144.11,38.55
69.0,9.0,199.0,8.12,56.46,26.76,18.77,122.73,167.25,31.28
60.0,10.0,154.0,8.05,57.3,27.48,21.89,124.58,171.77,36.49
60.0,10.0,154.0,8.05,58.14,26.19,21.28,126.4,163.71,35.47
64.0,16.0,124.0,7.63,58.17,25.0,23.47,126.46,156.26,39.12
79.0,13.0,195.0,7.33,53.94,25.98,19.52,117.26,162.36,32.54
103.0,11.0,150.0,6.85,48.05,28.23,21.5,104.45,176.45,35.83
98.0,64.0,178.0,6.63,50.39,15.0,19.97,109.53,93.75,33.28
54.0,10.0,159.0,8.16,58.48,27.19,21.29,127.13,169.93,35.48
68.0,9.0,129.0,7.85,56.13,28.78,22.55,122.01,179.87,37.58
66.0,9.0,19.0,8.09,56.73,28.41,29.65,123.34,177.59,49.41
74.0,40.0,169.0,7.47,53.84,15.0,20.92,117.03,93.75,34.87
109.0,17.0,19.0,7.61,46.91,24.23,29.66,101.97,151.46,49.43
113.0,21.0,155.0,7.01,47.79,22.3,21.56,103.88,139.38,35.94
56.0,7.0,124.0,4.8,58.38,28.77,23.55,126.92,179.81,39.25
98.0,15.0,195.0,7.69,48.35,24.58,18.97,105.1,153.63,31.62
69.0,14.0,154.0,7.84,56.83,25.4,22.11,123.54,158.73,36.84
61.0,9.0,135.0,7.5,58.02,26.74,23.62,126.13,167.13,39.36
66.0,18.0,130.0,7.95,56.23,23.73,22.97,122.24,148.32,38.28
99.0,14.0,162.0,7.6,49.15,25.72,21.52,106.84,160.75,35.87
84.0,23.0,106.0,6.99,53.87,21.26,24.52,117.11,132.9,40.87
54.0,17.0,162.0,7.84,59.48,23.13,21.46,129.3,144.57,35.77
64.0,13.0,104.0,7.74,59.11,26.49,25.54,128.49,165.58,42.57
103.0,13.0,194.0,7.55,49.74,26.12,19.61,108.12,163.24,32.69
115.0,14.0,186.0,7.32,47.31,25.01,18.95,102.85,156.34,31.59
111.0,17.0,165.0,7.27,47.67,23.93,21.33,103.62,149.57,35.54
69.0,7.0,189.0,7.71,56.85,27.7,20.28,123.59,173.12,33.79
98.0,10.0,138.0,6.45,50.9,26.63,22.61,110.65,166.47,37.68
104.0,23.0,176.0,7.07,50.2,21.08,20.94,109.13,131.73,34.9
64.0,9.0,117.0,8.04,56.78,28.44,23.63,123.44,177.73,39.39
75.0,9.0,180.0,7.86,54.65,27.32,19.46,118.81,170.73,32.43
110.0,10.0,155.0,7.96,47.62,27.63,21.77,103.51,172.71,36.28
73.0,7.0,160.0,4.93,56.03,28.28,20.52,121.81,176.73,34.2
103.0,17.0,166.0,7.26,50.6,24.25,20.92,110.0,151.55,34.87
125.0,21.0,164.0,7.42,44.63,22.22,21.8,97.03,138.84,36.34
98.0,10.0,181.0,7.64,50.06,27.77,19.19,108.83,173.59,31.98
111.0,17.0,165.0,7.27,48.05,23.78,20.46,104.46,148.62,34.1
79.0,6.0,18.0,5.7,54.0,28.11,29.4,117.4,175.67,49.01
80.0,8.0,19.0,5.37,54.76,27.32,29.83,119.05,170.76,49.71
113.0,13.0,193.0,7.01,45.6,25.58,19.24,99.13,159.88,32.06
66.0,18.0,130.0,7.95,56.14,22.9,23.9,122.04,143.13,39.83
